# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.total.get.ms,1714403406396000000,1714403466418000000,0
workspaceModel.to.snapshot.ms,1714403406396000000,1714403466418000000,0
workspaceModel.check.recursive.update.ms,1714403406396000000,1714403466418000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1714403406396000000,1714403466418000000,31
workspaceModel.updates.precise.ms,1714403406396000000,1714403466418000000,14
workspaceModel.replace.project.model.ms,1714403406396000000,1714403466418000000,5
workspaceModel.workspaceFileIndexData.instances.count,1714403406396000000,1714403466418000000,2
workspaceModel.cachedValueWithParameters.calculated.ms,1714403406396000000,1714403466418000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1714403406396000000,1714403466418000000,0
workspaceModel.workspaceFileIndexData.init.ms,1714403406396000000,1714403466418000000,55
workspaceModel.cachedValue.total.get.ms,1714403406396000000,1714403466418000000,19
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1714403406396000000,1714403466418000000,1739
workspaceModel.initializing.ms,1714403406396000000,1714403466418000000,21
workspaceModel.full.replace.project.model.ms,1714403406396000000,1714403466418000000,5
workspaceModel.workspaceFileIndexData.processFileSets.ms,1714403406396000000,1714403466418000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1714403406396000000,1714403466418000000,106
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1714403406396000000,1714403466418000000,120
workspaceModel.updates.count,1714403406396000000,1714403466418000000,9
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1714403406396000000,1714403466418000000,0
workspaceModel.loading.from.cache.ms,1714403406396000000,1714403466418000000,331
workspaceModel.cachedValue.from.cache.ms,1714403406396000000,1714403466418000000,3
JVM.totalCpuTimeMs,1714403406396000000,1714403466418000000,114830
JVM.GC.collections,1714403406396000000,1714403466418000000,27
JVM.usedNativeBytes,1714403406396000000,1714403466418000000,575058408
JVM.threadCount,1714403406396000000,1714403466418000000,164
JVM.totalDirectByteBuffersBytes,1714403406396000000,1714403466418000000,256054125
JVM.totalBytesAllocated,1714403406396000000,1714403466418000000,4373146024
JVM.newThreadsCount,1714403406396000000,1714403466418000000,227
OS.loadAverage,1714403406396000000,1714403466418000000,3.25
JVM.GC.collectionTimesMs,1714403406396000000,1714403466418000000,288
JVM.maxHeapBytes,1714403406396000000,1714403466418000000,2147483648
JVM.maxThreadCount,1714403406396000000,1714403466418000000,188
JVM.usedHeapBytes,1714403406396000000,1714403466418000000,850713600
FlushQueue.tasksExecuted,1714403406396000000,1714403466418000000,0
AWTEventQueue.dispatchTimeMaxNs,1714403406396000000,1714403466418000000,0
FlushQueue.executionTimeAvgNs,1714403406396000000,1714403466418000000,0.0
FlushQueue.waitingTimeMaxNs,1714403406396000000,1714403466418000000,0
NonBlockingReadAction.failedExecutionTimeUs,1714403406396000000,1714403466418000000,2108341
NonBlockingReadAction.failedExecutionsCount,1714403406396000000,1714403466418000000,7
FlushQueue.waitingTime90PNs,1714403406396000000,1714403466418000000,0
NonBlockingReadAction.finalizedExecutionsCount,1714403406396000000,1714403466418000000,1036
FlushQueue.queueSizeAvg,1714403406396000000,1714403466418000000,0.0
FlushQueue.waitingTimeAvgNs,1714403406396000000,1714403466418000000,0.0
ReadAction.executionsCount,1714403406396000000,1714403466418000000,562900
FlushQueue.executionTime90PNs,1714403406396000000,1714403466418000000,0
AWTEventQueue.dispatchTime90PNs,1714403406396000000,1714403466418000000,0
FlushQueue.executionTimeMaxNs,1714403406396000000,1714403466418000000,0
AWTEventQueue.dispatchTimeTotalNS,1714403406396000000,1714403466418000000,12800070162
WriteAction.executionsCount,1714403406396000000,1714403466418000000,38
FlushQueue.queueSizeMax,1714403406396000000,1714403466418000000,0
AWTEventQueue.dispatchTimeAvgNs,1714403406396000000,1714403466418000000,0.0
FlushQueue.queueSize90P,1714403406396000000,1714403466418000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1714403406396000000,1714403466418000000,9572412
AWTEventQueue.eventsDispatched,1714403406396000000,1714403466418000000,0
VFS.invertedFileNameIndex.requests,1714403406396000000,1714403466418000000,3
FileNameCache.queries,1714403406396000000,1714403466418000000,16130560
FileNameCache.totalMisses,1714403406396000000,1714403466418000000,959552
VFS.fileByIdCache.misses,1714403406396000000,1714403466418000000,29929
VFS.fileChildByName,1714403406396000000,1714403466418000000,92524
VFS.fileByIdCache.hits,1714403406396000000,1714403466418000000,6
FilePageCache.uncachedFileAccess,1714403406396000000,1714403466418000000,121
FilePageCacheLockFree.totalPagesReadMs,1714403406396000000,1714403466418000000,0
DirectByteBufferAllocator.hits,1714403406396000000,1714403466418000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1714403406396000000,1714403466418000000,0
StreamlinedBlobStorage.recordsRelocated,1714403406396000000,1714403466418000000,0
StorageLockContext.competingThreads.max,1714403406396000000,1714403466418000000,0
StorageLockContext.competingThreads.avg,1714403406396000000,1714403466418000000,0.0
FilePageCacheLockFree.totalHeapBytesAllocated,1714403406396000000,1714403466418000000,0
FilePageCacheLockFree.totalPagesReclaimed,1714403406396000000,1714403466418000000,0
